ISO;Score;Rank;Country_FR;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
SDN;40,83;148;Soudan;2023;151;3;40,96;-0,13
LBY;40,22;149;Libye;2023;143;-6;43,16;-2,94
PAK;39,95;150;Pakistan;2023;157;7;37,99;1,96
AZE;39,93;151;Azerbaïdjan;2023;154;3;39,4;0,53
AFG;39,75;152;Afghanistan;2023;156;4;38,27;1,48
TJK;39,06;153;Tadjikistan;2023;152;-1;40,26;-1,2
KWT;38,84;154;Koweït;2023;158;4;37,87;0,97
OMN;37,87;155;Oman;2023;163;8;35,99;1,88
PSE;37,86;156;Palestine;2023;170;14;28,98;8,88
BLR;37,17;157;Bélarus;2023;153;-4;39,62;-2,45
NIC;37,09;158;Nicaragua;2023;160;2;37,09;0
VEN;36,99;159;Venezuela;2023;159;0;37,78;-0,79
LAO;36,66;160;Laos;2023;161;1;36,64;0,02
IND;36,62;161;Inde;2023;150;-11;41;-4,38
DJI;35,87;162;Djibouti;2023;164;2;35,75;0,12
BGD;35,31;163;Bangladesh;2023;162;-1;36,63;-1,32
RUS;34,77;164;Russie;2023;155;-9;38,82;-4,05
TUR;33,97;165;Turquie;2023;149;-16;41,25;-7,28
EGY;33,37;166;Égypte;2023;168;2;30,23;3,14
IRQ;32,94;167;Irak;2023;172;5;28,59;4,35
YEM;32,78;168;Yémen;2023;169;1;29,14;3,64
HND;32,65;169;Honduras;2023;165;-4;34,61;-1,96
SAU;32,43;170;Arabie Saoudite;2023;166;-4;33,71;-1,28
BHR;30,59;171;Bahreïn;2023;167;-4;30,97;-0,38
CUB;29;172;Cuba;2023;173;1;27,32;1,68
MMR;28,26;173;Birmanie;2023;176;3;25,03;3,23
ERI;27,86;174;Érythrée;2023;179;5;19,62;8,24
SYR;27,22;175;Syrie;2023;171;-4;28,94;-1,72
TKM;25,82;176;Turkménistan;2023;177;1;25,01;0,81
IRN;24,81;177;Iran;2023;178;1;23,22;1,59
VNM;24,58;178;Vietnam;2023;174;-4;26,11;-1,53
CHN;22,97;179;Chine;2023;175;-4;25,17;-2,2
PRK;21,72;180;Corée du Nord;2023;180;0;13,92;7,8
